456	659	4952	33	17
408	608	4952	32	9
380	616	4761	40	16
395	597	4727	39	15
415	628	4694	28	14
379	601	4410	30	14
341	520	4381	38	5
379	570	4286	31	18
363	602	4257	22	12
373	582	4109	33	9
392	590	4045	27	12
344	554	3986	27	12
370	561	3812	28	18
304	435	3705	34	9
285	452	3475	20	7
309	481	3398	19	17
289	478	3369	19	10
242	438	3326	12	13
348	599	3270	21	12
303	464	3265	18	6
262	448	3127	18	12
287	447	3018	18	10
259	402	2919	14	12
280	475	2908	11	17
219	367	2525	13	13
197	312	2483	17	8
198	309	2418	14	11
184	327	2206	11	14
180	284	2001	12	9
132	240	1711	7	5
126	204	1710	10	9
107	179	1412	8	7
